stop_id,stop_name,stop_lat,stop_lon,stop_desc
243,103-D 103-B 103-C-ESPERANZA-PUERTO 109-A 109-B-YECOHA,-27.496212266543623,-58.816390472489,103-D 103-B 103-C-ESPERANZA-PUERTO 109-A 109-B-YECOHA
244,103-D,-27.56367451703596,-58.76425134655665,103-D
245,103-D 103-B 103-C-ESPERANZA-PUERTO 109-A 109-B-YECOHA,-27.48730128764603,-58.82234979214369,103-D 103-B 103-C-ESPERANZA-PUERTO 109-A 109-B-YECOHA
246,103-D 103-A 103-C-ESPERANZA-PUERTO 103-B 106-B 102-B,-27.47636572323449,-58.8300624054141,103-D 103-A 103-C-ESPERANZA-PUERTO 103-B 106-B 102-B
247,103-D 103-A 103-B 103-C-ESPERANZA-PUERTO,-27.47368070494575,-58.82977218092347,103-D 103-A 103-B 103-C-ESPERANZA-PUERTO
248,103-D 103-B 103-A 103-C-ESPERANZA-PUERTO 101-B 101-C,-27.471488753445808,-58.82953229082317,103-D 103-B 103-A 103-C-ESPERANZA-PUERTO 101-B 101-C
249,103-D,-27.563825810435752,-58.76231638415203,103-D
250,103-D 103-A 103-C-ESPERANZA-PUERTO 103-B,-27.469192531045863,-58.82923800222273,103-D 103-A 103-C-ESPERANZA-PUERTO 103-B
251,103-D 103-C-ESPERANZA-PUERTO 103-A 103-B 104-B,-27.466899912945927,-58.82897246352237,103-D 103-C-ESPERANZA-PUERTO 103-A 103-B 104-B
252,103-D 103-A 103-B 103-C-ESPERANZA-PUERTO 105-C-250VIV 105-C-PERICHON 108-C 104-A 104-B 104-C 104-D,-27.465840261898624,-58.83044667654005,103-D 103-A 103-B 103-C-ESPERANZA-PUERTO 105-C-250VIV 105-C-PERICHON 108-C 104-A 104-B 104-C 104-D
253,103-A 103-B 103-C-ESPERANZA-PUERTO 103-D 110-A,-27.468221985224773,-58.83932205573592,103-A 103-B 103-C-ESPERANZA-PUERTO 103-D 110-A
254,103-D,-27.564255885835653,-58.76145874784993,103-D
255,103-D 103-B 103-C-ESPERANZA-PUERTO 109-A 109-B-YECOHA 110-B,-27.487336750804964,-58.82256107810433,103-D 103-B 103-C-ESPERANZA-PUERTO 109-A 109-B-YECOHA 110-B
256,103-D,-27.56570955933558,-58.761145180849006,103-D
257,103-D 103-B 103-C-ESPERANZA-PUERTO,-27.50389503514293,-58.81214294297798,103-D 103-B 103-C-ESPERANZA-PUERTO
258,103-D 103-B 103-C-ESPERANZA-PUERTO,-27.50909047394256,-58.8104384829733,103-D 103-B 103-C-ESPERANZA-PUERTO
259,103-D,-27.58174330193353,-58.746880103612966,103-D
260,108-C,-27.511975273640772,-58.79323311793205,108-C
261,108-C,-27.510290762541615,-58.80121813805124,108-C
262,108-C 108-A-B,-27.50592630554152,-58.79842922734514,108-C 108-A-B
263,108-C,-27.510116670340835,-58.79306958703188,108-C
264,108-C,-27.50428437454209,-58.803654421957766,108-C
265,108-C,-27.50415864594221,-58.804868037760656,108-C
266,108-C,-27.50407834734232,-58.80614661326371,108-C
267,108-C,-27.503713231642504,-58.807667174367374,108-C
268,108-C,-27.501824453542746,-58.80940088717171,108-C
269,108-C,-27.50022744954292,-58.81070821267501,108-C
270,108-C,-27.49749226694324,-58.81285741648043,108-C
271,108-C,-27.49577950884341,-58.81424621398397,108-C
272,108-C,-27.4942576905436,-58.81543376198695,108-C
273,108-C,-27.493550676943677,-58.815967102488315,108-C
274,108-C,-27.49232817634383,-58.81700444689094,108-C
275,108-C,-27.489626772843884,-58.81662214829036,108-C
276,108-C,-27.48880140684393,-58.816483008690106,108-C
277,108-C 108-A-B 102-B,-27.485304895943997,-58.81587087828906,108-C 108-A-B 102-B
278,108-C 108-A-B 102-B,-27.484001258544,-58.81557239868852,108-C 108-A-B 102-B
279,108-C 108-A-B 102-B,-27.48051614694408,-58.81497091328751,108-C 108-A-B 102-B
280,108-C,-27.47748642424464,-58.81964214799897,108-C
281,108-C,-27.476259229844665,-58.81946537359869,108-C
282,108-C,-27.474764317344693,-58.81920687569826,108-C
283,108-C,-27.472857769644747,-58.81881577609756,108-C
284,108-C,-27.469866687544805,-58.81843783609702,108-C
285,108-C,-27.468869827844955,-58.819575847099834,108-C
286,108-C,-27.46732398054268,-58.82136116951333,108-C
287,108-C 105-C-PERICHON 105-C-250VIV 109-A 109-B-YECOHA,-27.46647872191304,-58.82351176938247,108-C 105-C-PERICHON 105-C-250VIV 109-A 109-B-YECOHA
288,108-C 105-C-250VIV 105-C-PERICHON 109-A 109-B-YECOHA 104-A,-27.466185529306912,-58.826879118848616,108-C 105-C-250VIV 105-C-PERICHON 109-A 109-B-YECOHA 104-A
289,108-C 104-A 104-B 104-C 104-D 103-D,-27.465540483553585,-58.833915071922696,108-C 104-A 104-B 104-C 104-D 103-D
290,108-C 104-A 104-B 104-C 104-D,-27.465383794246623,-58.835593580338255,108-C 104-A 104-B 104-C 104-D
291,108-C 104-A 104-B 104-C 104-D 103-D,-27.4651950338468,-58.837607248743055,108-C 104-A 104-B 104-C 104-D 103-D
292,108-C 102-A 106-B 106-C 106-A 102-B 101-B 101-C,-27.46659732866416,-58.83559407091112,108-C 102-A 106-B 106-C 106-A 102-B 101-B 101-C
293,108-C 102-A,-27.475015271544727,-58.81948465199889,108-C 102-A
294,108-C,-27.47625696674469,-58.819690930699245,108-C
295,108-C 108-A-B 102-B,-27.478980917644154,-58.814986335987726,108-C 108-A-B 102-B
296,108-C 108-A-B 110-A,-27.480449678444103,-58.81527936738825,108-C 108-A-B 110-A
297,108-C,-27.509556507841367,-58.79820601724416,108-C
298,108-C 108-A-B 102-B,-27.48317991584404,-58.815755207989056,108-C 108-A-B 102-B
299,108-C,-27.48983908644392,-58.81691878379102,108-C
300,108-C,-27.492410654343832,-58.817062449591056,108-C
301,108-C,-27.493632065243684,-58.81605905198854,108-C
302,108-C,-27.4943379891436,-58.81555965818725,108-C
303,108-C,-27.495917642643438,-58.81425887068398,108-C
304,108-C,-27.49760374624324,-58.8129311771806,108-C
305,108-C,-27.50028922424293,-58.8108310074753,108-C
306,108-C,-27.5106090233414,-58.799057115746045,108-C
307,108-C,-27.501962335842745,-58.809477833071874,108-C
308,108-C,-27.504093350942423,-58.807167948166125,108-C
309,108-C,-27.50418136094234,-58.80616488586375,108-C
310,108-C,-27.504268197442208,-58.804841467160585,108-C
311,108-C,-27.50438738814209,-58.80362810285769,108-C
312,108-C,-27.504507416941944,-58.80223444375436,108-C
313,108-C,-27.50590954174164,-58.79963194664799,108-C
314,108-C,-27.50601238764152,-58.79842805394512,108-C
315,108-C,-27.510450856841505,-58.800166460648725,108-C
316,108-C,-27.509867811640856,-58.79317486373217,108-C
317,108-C,-27.5119633713408,-58.79339631363244,108-C
318,108-A-B,-27.50456483304196,-58.802325219754565,108-A-B
319,108-A-B 102-B 110-B,-27.4870435540438,-58.814704787886086,108-A-B 102-B 110-B
320,108-A-B 102-B 110-B,-27.487301129943564,-58.81230689308038,108-A-B 102-B 110-B
321,108-A-B 102-B 110-B,-27.48706249714333,-58.80986960317461,108-A-B 102-B 110-B
322,108-A-B 102-B 110-B,-27.486910533243137,-58.8077119336695,108-A-B 102-B 110-B
323,108-A-B 102-B 110-B,-27.489350505243095,-58.80822867807042,108-A-B 102-B 110-B
324,102-B 108-A-B 110-B,-27.490624674807524,-58.808105774897136,102-B 108-A-B 110-B
325,108-A-B 110-B,-27.4917368331426,-58.80413269336044,108-A-B 110-B
326,108-A-B 110-B,-27.49289185934245,-58.80290985755737,108-A-B 110-B
327,108-A-B 110-B,-27.492896301742245,-58.80099836455283,108-A-B 110-B
328,108-A-B 108-C,-27.504581848241855,-58.8013286115522,108-A-B 108-C
329,108-A-B 110-B,-27.49278423574213,-58.79970386334976,108-A-B 110-B
330,108-A-B,-27.494228102342102,-58.79981450454984,108-A-B
331,108-A-B,-27.49590649464208,-58.80035639455094,108-A-B
332,108-A-B,-27.49891568174187,-58.79940697634833,108-A-B
333,108-A-B,-27.501172592941632,-58.79780695484424,108-A-B
334,108-A-B,-27.50343143204156,-58.79789421044416,108-A-B
335,108-A-B,-27.50445134204154,-58.79798716584425,108-A-B
336,108-A-B,-27.50586344124149,-58.79800426484413,108-A-B
337,108-A-B 108-C,-27.50733102864144,-58.79813326234425,108-A-B 108-C
338,108-A-B 108-C,-27.5083291457414,-58.798021363943896,108-A-B 108-C
339,108-A-B,-27.504670109741745,-58.80025639844964,108-A-B
340,108-A-B 108-C,-27.508836167041174,-58.795838381138616,108-A-B 108-C
341,108-A-B 108-C,-27.508897187341017,-58.79449727663543,108-A-B 108-C
342,108-A-B 108-C,-27.509099191140848,-58.79275987573128,108-A-B 108-C
343,108-A-B,-27.50477119544163,-58.79920916344714,108-A-B
344,108-A-B,-27.50447925374149,-58.79766010394348,108-A-B
345,108-A-B,-27.50357157744151,-58.79758785194342,108-A-B
346,108-A-B,-27.5013014228416,-58.79749917144349,108-A-B
347,108-A-B,-27.498803280441848,-58.799174210947776,108-A-B
348,108-A-B,-27.496097434442067,-58.80024508285064,108-A-B
349,108-A-B,-27.49427085004208,-58.79960990224936,108-A-B
350,108-A-B 108-C,-27.508663667440977,-58.79420013813474,108-A-B 108-C
351,108-A-B,-27.49276546024212,-58.79936598884896,108-A-B
352,108-A-B 102-B 110-B,-27.49139904244232,-58.8010795013532,108-A-B 102-B 110-B
353,108-A-B 102-B 110-B,-27.490826055542534,-58.80316676285823,108-A-B 102-B 110-B
354,108-A-B 102-B 110-B,-27.489740682842815,-58.80551880876396,108-A-B 102-B 110-B
355,108-A-B 102-B 110-B,-27.48674482304311,-58.807467768868925,108-A-B 102-B 110-B
356,108-A-B 102-B 110-B,-27.486774914043327,-58.809761811974376,108-A-B 102-B 110-B
357,108-A-B 102-B 110-B,-27.48704942144357,-58.81233715168048,108-A-B 102-B 110-B
358,108-A-B 102-B 110-B,-27.4868723956438,-58.81470763778613,108-A-B 102-B 110-B
359,108-A-B 108-C,-27.508520923641136,-58.795574602638055,108-A-B 108-C
360,108-A-B 102-B 110-B,-27.486790923543936,-58.81587934398892,108-A-B 102-B 110-B
361,104-A 108-A-B,-27.46405199364568,-58.82529699891398,104-A 108-A-B
362,108-A-B,-27.463238278545816,-58.82640483511671,108-A-B
363,108-A-B,-27.46140415044616,-58.82907489032326,108-A-B
364,108-A-B,-27.461085638146447,-58.832197149330725,108-A-B
365,108-A-B 106-A 106-B 106-C 105-C-PERICHON 103-A 103-B 103-C-ESPERANZA-PUERTO,-27.46106350994668,-58.83465757313655,108-A-B 106-A 106-B 106-C 105-C-PERICHON 103-A 103-B 103-C-ESPERANZA-PUERTO
366,108-A-B 108-C,-27.506457047641437,-58.79776940394351,108-A-B 108-C
367,108-A-B,-27.475743211628295,-58.847231589667466,108-A-B
368,108-A-B,-27.476143894847063,-58.844699344658615,108-A-B
369,108-A-B 108-C,-27.505803594441637,-58.79971417314821,108-A-B 108-C
370,108-A-B,-27.47629057814693,-58.843439376955594,108-A-B
371,108-A-B,-27.476657873146667,-58.84074576854917,108-A-B
372,108-A-B,-27.477025419546404,-58.838171350843005,108-A-B
373,108-A-B,-27.479465391646208,-58.837113806040215,108-A-B
374,108-A-B,-27.47693422444625,-58.83654040003914,108-A-B
375,108-A-B,-27.47549102834633,-58.83680233453995,108-A-B
376,108-A-B 108-C,-27.505694378241735,-58.800781021750765,108-A-B 108-C
377,108-A-B,-27.461352434146207,-58.82965768412465,108-A-B
378,108-A-B,-27.46420395754568,-58.82542758901428,108-A-B
379,108-A-B 108-C,-27.46737275466528,-58.82166790915237,108-A-B 108-C
380,108-A-B 108-C,-27.468941409244987,-58.81990114880058,108-A-B 108-C
381,108-A-B,-27.505603183141915,-58.80232345955445,108-A-B
382,108-A-B,-27.473345048124283,-58.81350176677569,108-A-B
383,108-A-B 110-A,-27.475663863244183,-58.81412232948608,108-A-B 110-A
384,108-A-B 110-A,-27.47805765094416,-58.81472674848724,108-A-B 110-A
385,108-A-B 102-B 110-B,-27.486948168043927,-58.81596425268911,108-A-B 102-B 110-B
386,103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO,-27.543129969539237,-58.789524544919416,103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO
387,103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO,-27.54172306703935,-58.78997951462066,103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO
388,103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO,-27.53731955043955,-58.79049894112244,103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO
389,103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO,-27.536142898839618,-58.79062961502292,103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO
390,103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO,-27.535267660539667,-58.790710835623194,103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO
391,103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO,-27.53400417243972,-58.79087009182372,103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO
392,103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO,-27.532326450639815,-58.79108165102445,103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO
393,103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO,-27.531275862939854,-58.79118709532485,103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO
394,103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO 103-D,-27.530725507139888,-58.791433104225455,103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO 103-D
395,103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO,-27.547310611339057,-58.789387416918565,103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO
396,103-C-ESPERANZA-MONTAÃ‘A,-27.52348974544037,-58.79341483763106,103-C-ESPERANZA-MONTAÃ‘A
397,103-B 103-C-ESPERANZA-MONTAÃ‘A,-27.52331540184025,-58.79231588622849,103-B 103-C-ESPERANZA-MONTAÃ‘A
398,103-B 103-C-ESPERANZA-MONTAÃ‘A,-27.523213226440173,-58.79115583092572,103-B 103-C-ESPERANZA-MONTAÃ‘A
399,103-B 103-C-ESPERANZA-MONTAÃ‘A,-27.523018682440156,-58.79089750062517,103-B 103-C-ESPERANZA-MONTAÃ‘A
400,103-B 103-C-ESPERANZA-MONTAÃ‘A,-27.523235354640352,-58.7932485406307,103-B 103-C-ESPERANZA-MONTAÃ‘A
401,103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO,-27.547173148138967,-58.78819433681577,103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO
402,103-B 103-C-ESPERANZA-MONTAÃ‘A,-27.524187119740493,-58.79498946193474,103-B 103-C-ESPERANZA-MONTAÃ‘A
403,103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO,-27.541772604139368,-58.7901621562211,103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO
404,103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO,-27.544574925739266,-58.79035368272122,103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO
405,103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO,-27.546999139839222,-58.79075844482188,103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO
406,103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO,-27.546735277538755,-58.78598905811055,103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO
407,103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO,-27.545636745238813,-58.78611973201102,103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO
408,103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO,-27.544729739538862,-58.786189134111275,103-C-ESPERANZA-MONTAÃ‘A 103-C-ESPERANZA-PUERTO
