gid,tipo_recorrido,cantidad_paradas,linea_ramal,lng,lat
144,IDA,2,105-C-PERICHON 109-A 109-B-YECOHA,-58.764990127471471,-27.459194848439985
146,IDA,2,105-C-PERICHON 109-A 109-B-YECOHA,-58.755357225249526,-27.451966043639271
148,IDA,1,109-A,-58.750394468038181,-27.448635242938916
149,IDA,1,109-A,-58.74830150683318,-27.448912516338705
150,IDA,1,109-A,-58.746214748228184,-27.449221473338458
151,IDA,1,109-A,-58.738972113310865,-27.45031464113768
152,IDA,1,109-A,-58.734142125399309,-27.451156100337158
153,IDA,1,109-A,-58.731458072292888,-27.451528843636893
154,IDA,1,109-A,-58.728861358686686,-27.451815337036592
155,IDA,1,109-A,-58.724395899775978,-27.452639110536079
156,IDA,1,109-A,-58.722218532770739,-27.453264903335842
157,VUELTA,1,109-A,-58.72220780397074,-27.453099863735869
158,VUELTA,1,109-A,-58.724371256975935,-27.452539030536109
159,VUELTA,1,109-A,-58.72879346528655,-27.45171534093658
160,VUELTA,1,109-A,-58.731383054292714,-27.45142214193686
161,VUELTA,1,109-A,-58.734079680199173,-27.451071443137149
162,VUELTA,1,109-A,-58.738894832110695,-27.450227888437677
163,VUELTA,1,109-A,-58.746149117928056,-27.44912910473845
164,VUELTA,1,109-A,-58.74813068363278,-27.448849652038664
165,VUELTA,1,109-A,-58.750262788337857,-27.448551256338888
168,VUELTA,2,109-A 109-B-YECOHA,-58.757890906955332,-27.453583834839478
170,VUELTA,2,109-A 109-B-YECOHA,-58.773255197170322,-27.462465807313677
171,VUELTA,2,109-A 109-B-YECOHA,-58.775436907710777,-27.462986440320286
172,VUELTA,2,109-A 109-B-YECOHA,-58.777205074999948,-27.46342418914103
204,IDA,4,102-C 102-A 106-B 106-A,-58.800671889353517,-27.480654951342711
205,IDA,4,102-C 102-A 106-B 106-A,-58.802372996657631,-27.480215907242872
206,IDA,4,102-C 102-A 106-B 106-A,-58.804368727762451,-27.47962121114308
207,IDA,4,102-C 102-A 106-B 106-A,-58.80622481646688,-27.479301441543278
208,IDA,5,102-C 102-A 106-C 106-B 106-A,-58.80967799287513,-27.478883184643642
209,IDA,5,102-C 102-A 106-C 106-B 106-A,-58.812195329881149,-27.478582693343878
210,IDA,7,102-C 102-A 102-B 108-C 106-A 106-B 106-C,-58.815149699288213,-27.478201652044177
212,IDA,7,102-C 102-B 102-A 106-A 106-B 106-C 108-C,-58.817397306693579,-27.477926725644409
